Implementation, query, optimization, repetitions, stddev, time
Indexed Algebra, scripts/hugejoin/queries/100.sql, Unnesting, 1000, 9.74559, 50.5422
Indexed Algebra, scripts/hugejoin/queries/100.sql, Predicate Pushdown, 1000, 34.3652, 247.955
Indexed Algebra, scripts/hugejoin/queries/100.sql, Side-way Information Passing, 1000, 0.00117622, 0.02595
Indexed Algebra, scripts/hugejoin/queries/100.sql, Cardinality Estimation, 1000, 14.4771, 56.5895
Indexed Algebra, scripts/hugejoin/queries/100.sql, Join Ordering, 1000, 55.5996, 678.921
Indexed Algebra, scripts/hugejoin/queries/100.sql, Common Subtree Elimination, 1000, 0.00758865, 0.038643
Indexed Algebra, scripts/hugejoin/queries/100.sql, Physical Planning, 1000, 27.4694, 241.108
Indexed Algebra, scripts/hugejoin/queries/100.sql, Total, 1000, 81.6594, 1321.23
Indexed Algebra, scripts/hugejoin/queries/110.sql, Simplify Expressions, 1000, 4.6341, 23.6215
Indexed Algebra, scripts/hugejoin/queries/110.sql, Unnesting, 1000, 6.68558, 53.3449
Indexed Algebra, scripts/hugejoin/queries/110.sql, Predicate Pushdown, 1000, 33.8123, 266.65
Indexed Algebra, scripts/hugejoin/queries/110.sql, Side-way Information Passing, 1000, 0.00191221, 0.026143
Indexed Algebra, scripts/hugejoin/queries/110.sql, Cardinality Estimation, 1000, 5.34876, 61.0844
Indexed Algebra, scripts/hugejoin/queries/110.sql, Join Ordering, 1000, 86.0252, 783.6
Indexed Algebra, scripts/hugejoin/queries/110.sql, Common Subtree Elimination, 1000, 0.0144014, 0.034966
Indexed Algebra, scripts/hugejoin/queries/110.sql, Physical Planning, 1000, 31.9901, 275.065
Indexed Algebra, scripts/hugejoin/queries/110.sql, Total, 1000, 155.605, 1481.76
Indexed Algebra, scripts/hugejoin/queries/120.sql, Simplify Expressions, 1000, 7.48253, 26.0185
Indexed Algebra, scripts/hugejoin/queries/120.sql, Unnesting, 1000, 5.90906, 57.4602
Indexed Algebra, scripts/hugejoin/queries/120.sql, Predicate Pushdown, 1000, 33.5832, 289.062
Indexed Algebra, scripts/hugejoin/queries/120.sql, Side-way Information Passing, 1000, 0.00163638, 0.025984
Indexed Algebra, scripts/hugejoin/queries/120.sql, Cardinality Estimation, 1000, 4.71382, 65.8983
Indexed Algebra, scripts/hugejoin/queries/120.sql, Join Ordering, 1000, 41.4214, 882.761
Indexed Algebra, scripts/hugejoin/queries/120.sql, Common Subtree Elimination, 1000, 0.00626502, 0.035666
Indexed Algebra, scripts/hugejoin/queries/120.sql, Physical Planning, 1000, 18.0183, 272.153
Indexed Algebra, scripts/hugejoin/queries/120.sql, Total, 1000, 96.4735, 1620.53
Indexed Algebra, scripts/hugejoin/queries/130.sql, Simplify Expressions, 1000, 4.68198, 27.7366
Indexed Algebra, scripts/hugejoin/queries/130.sql, Unnesting, 1000, 4.21262, 61.9662
Indexed Algebra, scripts/hugejoin/queries/130.sql, Predicate Pushdown, 1000, 36.055, 314.742
Indexed Algebra, scripts/hugejoin/queries/130.sql, Side-way Information Passing, 1000, 0.00181216, 0.025992
Indexed Algebra, scripts/hugejoin/queries/130.sql, Cardinality Estimation, 1000, 4.71172, 72.9259
Indexed Algebra, scripts/hugejoin/queries/130.sql, Join Ordering, 1000, 153.653, 1783.78
Indexed Algebra, scripts/hugejoin/queries/130.sql, Common Subtree Elimination, 1000, 0.00625376, 0.035206
Indexed Algebra, scripts/hugejoin/queries/130.sql, Physical Planning, 1000, 19.8668, 303.362
Indexed Algebra, scripts/hugejoin/queries/130.sql, Total, 1000, 216.201, 2585.11
Indexed Algebra, scripts/hugejoin/queries/140.sql, Simplify Expressions, 1000, 2.03274, 29.7395
Indexed Algebra, scripts/hugejoin/queries/140.sql, Unnesting, 1000, 1.82457, 66.8736
Indexed Algebra, scripts/hugejoin/queries/140.sql, Predicate Pushdown, 1000, 15.7709, 335.96
