Implementation, query, optimization, repetitions, stddev, time
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.123083, 14.1317
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00066, 0.03862
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.161191, 8.57488
Indexed Algebra, queries.sql, Join Ordering, 100, 0.404063, 3.42147
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.0227096, 2.01529
Indexed Algebra, queries.sql, Physical Planning, 100, 0.699128, 2.9673
Indexed Algebra, queries.sql, Total, 100, 1.37519, 56.6525
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.319354, 2.78846
Indexed Algebra, queries.sql, Unnesting, 100, 0.170497, 1.07319
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 1.29229, 6.28738
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00385584, 0.03845
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 3.84587, 2.2773
Indexed Algebra, queries.sql, Join Ordering, 100, 0.0524734, 0.6728
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.056115, 0.54819
Indexed Algebra, queries.sql, Physical Planning, 100, 0.0187305, 0.15936
Indexed Algebra, queries.sql, Total, 100, 4.2369, 14.2948
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.257666, 17.1343
Indexed Algebra, queries.sql, Unnesting, 100, 0.0625799, 5.49535
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 1.18461, 18.5584
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.000617333, 0.03867
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 1.23, 15.1684
Indexed Algebra, queries.sql, Join Ordering, 100, 1.80168, 19.6168
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.0881323, 2.55912
Indexed Algebra, queries.sql, Physical Planning, 100, 0.210543, 5.90873
Indexed Algebra, queries.sql, Total, 100, 4.00883, 84.969
Column Sets, queries.sql, Simplify Expressions, 100, 0.103133, 3.85685
Column Sets, queries.sql, Unnesting, 100, 0.0963985, 4.51671
Column Sets, queries.sql, Predicate Pushdown, 100, 0.14442, 6.61166
Column Sets, queries.sql, Side-way Information Passing, 100, 0.00193866, 0.03904
Column Sets, queries.sql, Cardinality Estimation, 100, 0.214718, 6.57587
Column Sets, queries.sql, Join Ordering, 100, 0.0555686, 1.45956
Column Sets, queries.sql, Common Subtree Elimination, 100, 0.0273181, 1.837
Column Sets, queries.sql, Physical Planning, 100, 0.0432837, 1.2096
Column Sets, queries.sql, Total, 100, 0.434441, 26.5752
Column Sets, queries.sql, Simplify Expressions, 100, 0.12188, 1.79553
Column Sets, queries.sql, Unnesting, 100, 0.0962873, 3.52696
Column Sets, queries.sql, Predicate Pushdown, 100, 0.137507, 5.24193
Column Sets, queries.sql, Side-way Information Passing, 100, 0.00234811, 0.03808
Column Sets, queries.sql, Cardinality Estimation, 100, 0.448611, 5.68435
Column Sets, queries.sql, Join Ordering, 100, 0.0542589, 0.90663
Column Sets, queries.sql, Common Subtree Elimination, 100, 0.0694382, 1.31941
Column Sets, queries.sql, Physical Planning, 100, 0.0664742, 0.70577
Column Sets, queries.sql, Total, 100, 0.610042, 19.6889
Column Sets, queries.sql, Simplify Expressions, 100, 0.268037, 3.97457
Column Sets, queries.sql, Unnesting, 100, 0.200007, 4.68432
Column Sets, queries.sql, Predicate Pushdown, 100, 0.143651, 7.31672
Column Sets, queries.sql, Side-way Information Passing, 100, 0.00174654, 0.03864
Column Sets, queries.sql, Cardinality Estimation, 100, 0.277383, 6.99047
Column Sets, queries.sql, Join Ordering, 100, 0.0859578, 1.5106
Column Sets, queries.sql, Common Subtree Elimination, 100, 0.0355074, 1.87781
Column Sets, queries.sql, Physical Planning, 100, 0.0775854, 1.21237
Column Sets, queries.sql, Total, 100, 0.738409, 28.0855
Column Sets, queries.sql, Simplify Expressions, 100, 0.0946122, 1.46424
